Malawi,MWI,GDP per capita (current US$),NY.GDP.PCAP.CD,354.7253961
Malaysia,MYS,GDP per capita (current US$),NY.GDP.PCAP.CD,11183.72943
Maldives,MDV,GDP per capita (current US$),NY.GDP.PCAP.CD,9220.328165
Mali,MLI,GDP per capita (current US$),NY.GDP.PCAP.CD,848.2279485
Malta,MLT,GDP per capita (current US$),NY.GDP.PCAP.CD,26248.77189
Marshall Islands,MHL,GDP per capita (current US$),NY.GDP.PCAP.CD,3461.781164
Mauritania,MRT,GDP per capita (current US$),NY.GDP.PCAP.CD,1326.668654
Mauritius,MUS,GDP per capita (current US$),NY.GDP.PCAP.CD,10153.93822
Mexico,MEX,GDP per capita (current US$),NY.GDP.PCAP.CD,10452.78353
"Micronesia, Fed. Sts.",FSM,GDP per capita (current US$),NY.GDP.PCAP.CD,3057.24559
Moldova,MDA,GDP per capita (current US$),NY.GDP.PCAP.CD,2244.763762
Mongolia,MNG,GDP per capita (current US$),NY.GDP.PCAP.CD,4181.583313
Montenegro,MNE,GDP per capita (current US$),NY.GDP.PCAP.CD,7378.345289
Morocco,MAR,GDP per capita (current US$),NY.GDP.PCAP.CD,3154.513484
Mozambique,MOZ,GDP per capita (current US$),NY.GDP.PCAP.CD,623.2871141
Myanmar,MMR,GDP per capita (current US$),NY.GDP.PCAP.CD,1260.422411
Namibia,NAM,GDP per capita (current US$),NY.GDP.PCAP.CD,5392.712419
Nepal,NPL,GDP per capita (current US$),NY.GDP.PCAP.CD,706.2386977
Netherlands,NLD,GDP per capita (current US$),NY.GDP.PCAP.CD,52157.40687
New Zealand,NZL,GDP per capita (current US$),NY.GDP.PCAP.CD,44503.24673
Nicaragua,NIC,GDP per capita (current US$),NY.GDP.PCAP.CD,1975.464707
Niger,NER,GDP per capita (current US$),NY.GDP.PCAP.CD,429.790889
Nigeria,NGA,GDP per capita (current US$),NY.GDP.PCAP.CD,3221.678116
Northern Mariana Islands,MNP,GDP per capita (current US$),NY.GDP.PCAP.CD,15513.69612
Norway,NOR,GDP per capita (current US$),NY.GDP.PCAP.CD,97199.9191
Oman,OMN,GDP per capita (current US$),NY.GDP.PCAP.CD,20458.45227
Pakistan,PAK,GDP per capita (current US$),NY.GDP.PCAP.CD,1316.980966
Palau,PLW,GDP per capita (current US$),NY.GDP.PCAP.CD,11682.76761
Panama,PAN,GDP per capita (current US$),NY.GDP.PCAP.CD,12593.73704
Papua New Guinea,PNG,GDP per capita (current US$),NY.GDP.PCAP.CD,2965.989284
Paraguay,PRY,GDP per capita (current US$),NY.GDP.PCAP.CD,4712.822736
Peru,PER,GDP per capita (current US$),NY.GDP.PCAP.CD,6491.05245
Philippines,PHL,GDP per capita (current US$),NY.GDP.PCAP.CD,2842.938353
Poland,POL,GDP per capita (current US$),NY.GDP.PCAP.CD,14339.67455
Portugal,PRT,GDP per capita (current US$),NY.GDP.PCAP.CD,22077.53613
Qatar,QAT,GDP per capita (current US$),NY.GDP.PCAP.CD,86852.71019
Romania,ROU,GDP per capita (current US$),NY.GDP.PCAP.CD,10020.27733
Russian Federation,RUS,GDP per capita (current US$),NY.GDP.PCAP.CD,14125.9061
Rwanda,RWA,GDP per capita (current US$),NY.GDP.PCAP.CD,706.5699517
Samoa,WSM,GDP per capita (current US$),NY.GDP.PCAP.CD,4179.049934
San Marino,SMR,GDP per capita (current US$),NY.GDP.PCAP.CD,56513.51608
Sao Tome and Principe,STP,GDP per capita (current US$),NY.GDP.PCAP.CD,1824.160311
Saudi Arabia,SAU,GDP per capita (current US$),NY.GDP.PCAP.CD,24575.40304
Senegal,SEN,GDP per capita (current US$),NY.GDP.PCAP.CD,1052.127482
Serbia,SRB,GDP per capita (current US$),NY.GDP.PCAP.CD,6200.173221
Seychelles,SYC,GDP per capita (current US$),NY.GDP.PCAP.CD,15570.77892
Sierra Leone,SLE,GDP per capita (current US$),NY.GDP.PCAP.CD,708.4427474
Singapore,SGP,GDP per capita (current US$),NY.GDP.PCAP.CD,56336.07234
Slovak Republic,SVK,GDP per capita (current US$),NY.GDP.PCAP.CD,18629.77966
Slovenia,SVN,GDP per capita (current US$),NY.GDP.PCAP.CD,24202.43084
Solomon Islands,SLB,GDP per capita (current US$),NY.GDP.PCAP.CD,2009.652622
Somalia,SOM,GDP per capita (current US$),NY.GDP.PCAP.CD,417.8900143
South Africa,ZAF,GDP per capita (current US$),NY.GDP.PCAP.CD,6484.584983
Spain,ESP,GDP per capita (current US$),NY.GDP.PCAP.CD,29623.16445
Sri Lanka,LKA,GDP per capita (current US$),NY.GDP.PCAP.CD,3820.540994
St. Kitts and Nevis,KNA,GDP per capita (current US$),NY.GDP.PCAP.CD,15775.84594
St. Lucia,LCA,GDP per capita (current US$),NY.GDP.PCAP.CD,8796.69108
St. Vincent and the Grenadines,VCT,GDP per capita (current US$),NY.GDP.PCAP.CD,6650.061128
Sudan,SDN,GDP per capita (current US$),NY.GDP.PCAP.CD,2176.898029
Suriname,SUR,GDP per capita (current US$),NY.GDP.PCAP.CD,9564.406383
Swaziland,SWZ,GDP per capita (current US$),NY.GDP.PCAP.CD,3379.896499
Sweden,SWE,GDP per capita (current US$),NY.GDP.PCAP.CD,59180.19898
Switzerland,CHE,GDP per capita (current US$),NY.GDP.PCAP.CD,86605.56338
Tajikistan,TJK,GDP per capita (current US$),NY.GDP.PCAP.CD,1104.459019
Tanzania,TZA,GDP per capita (current US$),NY.GDP.PCAP.CD,950.3743138
Thailand,THA,GDP per capita (current US$),NY.GDP.PCAP.CD,5941.84071
Timor-Leste,TLS,GDP per capita (current US$),NY.GDP.PCAP.CD,1196.061391
Togo,TGO,GDP per capita (current US$),NY.GDP.PCAP.CD,620.1318489
Tonga,TON,GDP per capita (current US$),NY.GDP.PCAP.CD,4196.470593
Trinidad and Tobago,TTO,GDP per capita (current US$),NY.GDP.PCAP.CD,19325.27739
Tunisia,TUN,GDP per capita (current US$),NY.GDP.PCAP.CD,4270.307423
Turkey,TUR,GDP per capita (current US$),NY.GDP.PCAP.CD,12127.22567
Turkmenistan,TKM,GDP per capita (current US$),NY.GDP.PCAP.CD,7962.365824
Tuvalu,TUV,GDP per capita (current US$),NY.GDP.PCAP.CD,3415.813158
Uganda,UGA,GDP per capita (current US$),NY.GDP.PCAP.CD,702.8808064
Ukraine,UKR,GDP per capita (current US$),NY.GDP.PCAP.CD,3104.658296
United Arab Emirates,ARE,GDP per capita (current US$),NY.GDP.PCAP.CD,44449.74035
United Kingdom,GBR,GDP per capita (current US$),NY.GDP.PCAP.CD,46783.46922
United States,USA,GDP per capita (current US$),NY.GDP.PCAP.CD,54598.55069
Uruguay,URY,GDP per capita (current US$),NY.GDP.PCAP.CD,16737.89827
Uzbekistan,UZB,GDP per capita (current US$),NY.GDP.PCAP.CD,2050.448414
Vanuatu,VUT,GDP per capita (current US$),NY.GDP.PCAP.CD,3148.365103
"Venezuela, RB",VEN,GDP per capita (current US$),NY.GDP.PCAP.CD,15692.41288
Vietnam,VNM,GDP per capita (current US$),NY.GDP.PCAP.CD,2052.319084
Virgin Islands (U.S.),VIR,GDP per capita (current US$),NY.GDP.PCAP.CD,34789.28674
West Bank and Gaza,PSE,GDP per capita (current US$),NY.GDP.PCAP.CD,2960.778004
"Yemen, Rep.",YEM,GDP per capita (current US$),NY.GDP.PCAP.CD,1647.033657
Zambia,ZMB,GDP per capita (current US$),NY.GDP.PCAP.CD,1738.088202
Zimbabwe,ZWE,GDP per capita (current US$),NY.GDP.PCAP.CD,1031.104616
